,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
64,Baykit,100,RU,2019-09-29,88,61.68,96.39,26.15,1.63
65,Hermanus,100,ZA,2019-09-29,99,-34.42,19.24,66.0,10.0
66,Airai,91,TL,2019-09-29,80,-8.93,125.41,71.33,4.79
67,Upata,100,VE,2019-09-29,78,8.02,-62.41,82.0,3.83
68,Husavik,100,CA,2019-09-29,87,50.56,-96.99,42.01,5.99
69,Avarua,100,CK,2019-09-29,83,-21.21,-159.78,69.8,6.93
70,Geraldton,75,CA,2019-09-29,92,49.72,-86.95,30.2,1.28
71,Novikovo,100,RU,2019-09-29,77,51.15,37.89,54.77,11.07
72,Port Alfred,100,ZA,2019-09-29,87,-33.59,26.89,69.01,7.0
73,Cape Town,75,ZA,2019-09-29,68,-33.93,18.42,66.0,31.09
74,Longyearbyen,75,NO,2019-09-29,76,78.22,15.63,32.0,18.34
75,Boa Vista,75,BR,2019-09-29,74,2.82,-60.67,80.6,4.7
76,Lagoa,0,PT,2019-09-29,73,37.14,-8.45,78.01,9.17
77,Taos,1,US,2019-09-29,62,36.41,-105.57,51.8,18.34
78,Manaus,40,BR,2019-09-29,83,-3.13,-59.98,82.4,2.24
79,Castro-Urdiales,0,ES,2019-09-29,30,43.38,-3.22,82.99,4.7
80,Portland,1,US,2019-09-29,72,43.66,-70.25,66.0,5.82
81,Kapaa,20,US,2019-09-29,78,22.08,-159.32,80.6,11.41
82,Batesville,40,US,2019-09-29,83,35.77,-91.64,73.4,5.82
83,Adrar,30,DZ,2019-09-29,9,27.87,-0.29,105.8,16.11
84,Aitape,1,PG,2019-09-29,79,-3.15,142.36,78.71,3.47
85,Half Moon Bay,1,US,2019-09-29,87,37.46,-122.43,54.0,10.29
86,Sambava,69,MG,2019-09-29,63,-14.27,50.17,80.33,6.26
87,Ushuaia,75,AR,2019-09-29,86,-54.81,-68.31,39.2,5.23
88,Hirara,41,JP,2019-09-29,89,24.8,125.28,82.13,17.25
89,Singaraja,33,ID,2019-09-29,77,-8.11,115.08,80.69,3.11
90,Georgetown,20,GY,2019-09-29,79,6.8,-58.16,84.2,6.93
91,Bundaberg,49,AU,2019-09-29,83,-24.87,152.35,73.0,12.75
92,Pringsewu,28,ID,2019-09-29,90,-5.36,104.98,73.67,5.08
93,Cidreira,8,BR,2019-09-29,73,-30.17,-50.22,66.47,12.55
94,Haines Junction,84,CA,2019-09-29,55,60.75,-137.51,27.95,3.67
95,Pirapo,0,PY,2019-09-29,57,-26.85,-55.53,75.2,5.82
96,Dikson,69,RU,2019-09-29,77,73.51,80.55,32.99,3.49
97,Pangody,95,RU,2019-09-29,73,65.85,74.49,34.07,4.99
98,Norman Wells,75,CA,2019-09-29,86,65.28,-126.83,33.8,5.82
99,Cabo San Lucas,5,MX,2019-09-29,78,22.89,-109.91,75.99,17.22
100,Sorong,55,ID,2019-09-29,93,-0.86,131.25,74.93,3.89
101,Praya,75,ID,2019-09-29,78,-8.71,116.27,78.8,10.29
102,Bethel,90,US,2019-09-29,100,60.79,-161.76,48.2,4.7
103,Roebourne,0,AU,2019-09-29,38,-20.77,117.15,73.49,10.4
104,Iqaluit,90,CA,2019-09-29,100,63.75,-68.52,35.6,6.22
105,Puerto Ayora,90,EC,2019-09-29,73,-0.74,-90.35,71.6,8.05
106,Muyezerskiy,100,RU,2019-09-29,83,63.93,31.65,47.57,11.03
107,Lompoc,1,US,2019-09-29,93,34.64,-120.46,48.99,17.02
108,Qaanaaq,0,GL,2019-09-29,58,77.48,-69.36,32.45,11.01
109,Narsaq,75,GL,2019-09-29,26,60.91,-46.05,55.4,19.46
110,Beringovskiy,97,RU,2019-09-29,81,63.05,179.32,35.33,6.04
111,Baherden,46,TM,2019-09-29,41,38.44,57.43,69.35,11.83
112,Kyaikkami,0,MM,2019-09-29,76,16.08,97.57,84.65,9.91
113,Port Elizabeth,1,US,2019-09-29,88,39.31,-74.98,75.0,6.93
114,Severo-Yeniseyskiy,96,RU,2019-09-29,89,60.37,93.04,29.39,1.95
115,King City,75,CA,2019-09-29,81,43.93,-79.54,55.99,14.99
116,Toamasina,40,MG,2019-09-29,69,-18.17,49.38,80.6,9.17
117,Pangkalanbuun,63,ID,2019-09-29,82,-2.68,111.62,77.99,4.29
118,Hilo,90,US,2019-09-29,78,19.71,-155.08,78.8,5.82
119,Arraial do Cabo,90,BR,2019-09-29,88,-22.97,-42.02,68.0,8.05
120,Asosa,67,ET,2019-09-29,89,10.07,34.53,74.93,2.98
121,Campbell River,20,CA,2019-09-29,37,50.02,-125.24,50.0,11.41
122,Whitecourt,75,CA,2019-09-29,86,54.14,-115.68,28.4,6.93
123,Vanimo,14,PG,2019-09-29,70,-2.67,141.3,83.57,7.65
124,Novoagansk,86,RU,2019-09-29,73,61.94,76.66,36.41,3.6
125,Harper,75,US,2019-09-29,88,30.3,-99.24,75.0,11.41
126,Clyde River,90,CA,2019-09-29,100,70.47,-68.59,35.6,2.24
127,Hirado,90,JP,2019-09-29,100,33.32,129.49,75.2,2.24
128,Mulki,20,PL,2019-09-29,52,49.81,20.51,69.01,19.46
129,Margate,75,AU,2019-09-29,61,-43.03,147.26,46.4,12.75
130,Nanortalik,8,GL,2019-09-29,60,60.14,-45.24,42.17,1.9
131,Nikolskoye,90,RU,2019-09-29,87,59.7,30.79,53.01,11.18
132,Luderitz,68,NA,2019-09-29,86,-26.65,15.16,57.11,16.75
133,Troitskoye,99,RU,2019-09-29,57,52.98,84.68,46.67,8.08
134,Sao Filipe,75,CV,2019-09-29,78,14.9,-24.5,78.53,11.25
135,Pachino,0,IT,2019-09-29,39,36.72,15.09,82.4,8.05
136,Touros,75,BR,2019-09-29,58,-5.2,-35.46,82.4,16.11
137,Ilulissat,75,GL,2019-09-29,74,69.22,-51.1,35.6,3.36
138,Reconquista,0,AR,2019-09-29,62,-29.14,-59.64,73.13,10.92
139,Thompson,75,CA,2019-09-29,92,55.74,-97.86,26.6,2.24
140,Victoria,75,BN,2019-09-29,88,5.28,115.24,84.2,4.7
141,Krizevci,20,HR,2019-09-29,77,46.02,16.54,70.0,2.24
142,Dongsheng,0,CN,2019-09-29,45,29.72,112.52,77.45,2.08
143,Chekmagush,95,RU,2019-09-29,70,55.14,54.65,41.99,6.15
144,Tessalit,59,ML,2019-09-29,8,20.2,1.01,105.71,9.26
145,Kidal,8,ML,2019-09-29,7,18.44,1.41,103.19,2.84
146,Stolin,46,BY,2019-09-29,66,51.89,26.85,63.41,14.2
147,Shushtar,0,IR,2019-09-29,6,32.05,48.86,112.55,14.65
148,Khatanga,45,RU,2019-09-29,75,71.98,102.47,27.59,6.89
149,College,90,US,2019-09-29,62,64.86,-147.8,46.4,8.05
150,Veraval,90,FR,2019-09-29,77,49.65,0.71,68.0,25.28
151,Matamoros,40,US,2019-09-29,83,25.87,-97.51,84.0,9.17
152,Necochea,0,AR,2019-09-29,25,-38.55,-58.74,71.01,7.0
153,Provideniya,75,RU,2019-09-29,95,64.42,-173.23,35.87,3.38
154,Muravlenko,97,RU,2019-09-29,63,63.79,74.5,35.69,1.61
155,East London,0,ZA,2019-09-29,60,-33.02,27.91,75.2,17.22
156,Ponta do Sol,34,BR,2019-09-29,70,-20.63,-46.0,70.79,4.21
157,Lebanon,1,US,2019-09-29,83,40.34,-76.42,71.6,5.82
158,Tilichiki,72,RU,2019-09-29,75,60.47,166.1,31.73,2.57
159,Mazatlan,40,MX,2019-09-29,94,23.22,-106.42,81.0,1.77
160,Shubarshi,3,KZ,2019-09-29,32,48.59,57.19,54.41,8.93
161,Hay River,20,CA,2019-09-29,68,60.82,-115.79,30.2,8.05
162,Te Anau,65,NZ,2019-09-29,82,-45.41,167.72,42.89,9.01
163,Contamana,64,PE,2019-09-29,77,-7.35,-75.01,75.65,1.5
164,Hasaki,75,JP,2019-09-29,94,35.73,140.83,75.2,1.12
165,Kodiak,90,US,2019-09-29,100,39.95,-94.76,71.01,16.11
166,Butaritari,88,KI,2019-09-29,64,3.07,172.79,85.55,9.17
167,Brae,93,GB,2019-09-29,87,60.4,-1.35,55.4,12.75
168,Ngong,40,KE,2019-09-29,32,-1.37,36.65,82.4,11.41
169,Tadine,51,NC,2019-09-29,84,-21.55,167.88,72.59,4.94
170,Sioux Lookout,75,CA,2019-09-29,79,50.1,-91.92,39.2,5.82
171,Souillac,90,FR,2019-09-29,82,45.6,-0.6,69.01,18.34
172,Calama,0,CL,2019-09-29,23,-22.46,-68.93,54.0,13.87
173,Pemberton,1,AU,2019-09-29,81,-34.44,116.03,64.99,1.45
174,Saint-Gabriel,1,CA,2019-09-29,81,46.3,-73.38,45.0,5.82
175,Russell,40,US,2019-09-29,94,38.9,-98.86,71.01,14.99
176,Hobart,75,AU,2019-09-29,93,-42.88,147.33,48.2,9.17
177,Omboue,100,GA,2019-09-29,84,-1.57,9.26,76.91,11.18
178,Fortuna,75,US,2019-09-29,100,40.6,-124.16,48.0,6.93
179,Bonthe,67,SL,2019-09-29,77,7.53,-12.5,81.05,8.77
180,Praia,75,BR,2019-09-29,69,-20.25,-43.81,73.4,6.93
181,Tasiilaq,5,GL,2019-09-29,65,65.61,-37.64,41.0,8.05
182,Grand Island,90,US,2019-09-29,93,40.92,-98.34,64.4,10.29
183,Tiksi,26,RU,2019-09-29,92,71.64,128.87,26.15,5.23
184,Boyolangu,5,ID,2019-09-29,84,-8.09,111.9,69.89,5.57
185,Pacific Grove,0,US,2019-09-29,81,36.62,-121.92,54.0,21.9
186,Kruisfontein,100,ZA,2019-09-29,65,-34.0,24.73,68.99,11.86
187,Bara,97,NG,2019-09-29,63,10.41,10.6,85.01,11.56
188,Rundu,92,NA,2019-09-29,4,-17.91,19.77,92.75,8.61
189,Zapolyarnyy,75,RU,2019-09-29,86,69.43,30.82,37.4,23.04
190,Komsomolskiy,100,RU,2019-09-29,97,67.55,63.78,31.73,14.92
191,Abalak,46,NE,2019-09-29,13,15.46,6.28,100.67,5.86
192,Isangel,40,VU,2019-09-29,88,-19.55,169.27,71.6,12.28
193,Poum,20,MK,2019-09-29,56,41.28,20.71,71.6,4.7
194,Bandarbeyla,34,SO,2019-09-29,52,9.49,50.81,86.27,22.3
195,Pevek,100,RU,2019-09-29,89,69.7,170.27,33.17,28.43
196,Encs,20,HU,2019-09-29,59,48.33,21.12,66.2,10.29
197,Beloha,0,MG,2019-09-29,48,-25.17,45.06,79.07,15.17
198,Mehamn,96,NO,2019-09-29,68,71.03,27.85,36.23,8.86
199,Phalombe,11,MW,2019-09-29,19,-15.81,35.65,88.61,3.94
200,San Cristobal,87,HN,2019-09-29,94,14.68,-86.92,65.03,2.06
201,Goundam,0,ML,2019-09-29,18,16.42,-3.66,102.47,9.73
202,Tateyama,75,JP,2019-09-29,69,36.66,137.31,73.99,2.24
203,Road Town,20,VG,2019-09-29,70,18.42,-64.62,86.0,5.82
204,Saint Anthony,90,US,2019-09-29,93,43.97,-111.68,36.0,6.93
205,Sulmona,0,IT,2019-09-29,73,42.05,13.93,81.0,10.29
206,Belaya Gora,100,RU,2019-09-29,78,68.54,146.19,29.21,3.53
207,Workington,100,GB,2019-09-29,96,54.64,-3.55,57.99,5.99
208,San Rafael,0,AR,2019-09-29,24,-34.61,-68.33,66.47,7.16
209,Seredeyskiy,99,RU,2019-09-29,95,54.05,35.23,50.99,5.77
210,Camocim,100,BR,2019-09-29,53,-2.9,-40.84,84.47,10.87
211,Kalmunai,100,LK,2019-09-29,81,7.42,81.82,77.81,3.18
212,Severo-Kurilsk,65,RU,2019-09-29,83,50.68,156.12,50.81,6.62
213,Temir,25,KZ,2019-09-29,37,49.14,57.13,50.63,8.12
214,Grootfontein,0,NA,2019-09-29,5,-19.56,18.1,87.8,4.7
215,Ginda,75,IN,2019-09-29,88,30.69,78.49,77.0,3.36
216,Avera,1,US,2019-09-29,94,33.19,-82.53,73.99,1.45
217,Cervo,75,BR,2019-09-29,82,-22.19,-46.24,66.2,8.68
218,Lebu,75,ET,2019-09-29,64,8.96,38.73,68.0,9.17
219,Buala,95,SB,2019-09-29,82,-8.15,159.59,81.23,12.37
220,Bilibino,65,RU,2019-09-29,96,68.06,166.44,17.69,6.38
221,Kaitangata,97,NZ,2019-09-29,83,-46.28,169.85,48.99,1.99
222,Safranbolu,20,TR,2019-09-29,64,41.25,32.69,73.4,11.41
223,Muros,75,ES,2019-09-29,100,42.77,-9.06,73.0,10.29
224,Saint George,20,GR,2019-09-29,54,39.45,22.34,86.0,10.29
225,Cap Malheureux,20,MU,2019-09-29,69,-19.98,57.61,77.0,12.75
226,Sept-Iles,20,CA,2019-09-29,65,50.2,-66.38,48.99,8.05
227,Mahebourg,20,MU,2019-09-29,69,-20.41,57.7,77.0,12.75
228,Makakilo City,75,US,2019-09-29,69,21.35,-158.09,80.6,5.82
229,The Pas,90,CA,2019-09-29,82,53.82,-101.24,32.0,2.24
230,Hithadhoo,83,MV,2019-09-29,73,-0.6,73.08,81.41,10.96
231,Nieuw Nickerie,66,SR,2019-09-29,81,5.94,-56.99,79.43,12.06
232,Shakawe,64,BW,2019-09-29,4,-18.36,21.84,95.09,6.49
233,Gizo,40,IL,2019-09-29,58,31.8,34.94,84.99,11.41
234,Rameshki,85,RU,2019-09-29,93,57.35,36.05,46.13,9.1
235,Sao Gabriel da Cachoeira,0,BR,2019-09-29,88,-0.13,-67.09,77.0,1.12
236,Beirut,75,LB,2019-09-29,65,33.9,35.48,82.4,6.93
237,Upernavik,17,GL,2019-09-29,61,72.79,-56.15,39.65,9.33
238,Kenai,90,US,2019-09-29,87,60.55,-151.26,48.99,8.05
239,Lasa,20,CY,2019-09-29,69,34.92,32.53,82.4,11.41
240,Vardo,1,US,2019-09-29,78,39.62,-77.74,73.4,9.17
241,Rome,40,IT,2019-09-29,57,41.89,12.48,81.0,9.17
242,Deputatskiy,91,RU,2019-09-29,95,69.3,139.9,17.87,2.59
243,Alofi,30,NU,2019-09-29,94,-19.06,-169.92,71.6,11.41
244,Yulara,64,AU,2019-09-29,16,-25.24,130.99,75.2,2.24
245,Toora-Khem,100,RU,2019-09-29,97,52.47,96.11,37.49,2.98
246,Sete,100,NP,2019-09-29,95,27.58,86.44,61.07,2.01
247,Hamilton,75,CA,2019-09-29,93,43.26,-79.87,57.99,12.75
248,Meulaboh,97,ID,2019-09-29,84,4.14,96.13,78.35,5.88
249,Mamakan,100,RU,2019-09-29,99,57.82,114.02,36.41,2.26
250,Rameswaram,100,IN,2019-09-29,70,9.28,79.3,84.11,10.56
251,Ruffano,20,IT,2019-09-29,88,39.98,18.25,84.2,5.82
252,Ilo,47,PE,2019-09-29,83,-17.65,-71.34,59.09,4.38
253,Grindavik,20,IS,2019-09-29,66,63.84,-22.43,50.0,4.7
254,Ust-Maya,31,RU,2019-09-29,81,60.42,134.54,29.93,6.98
255,Jertih,75,MY,2019-09-29,83,5.74,102.5,84.2,5.82
256,Choix,0,MX,2019-09-29,63,26.71,-108.33,67.19,5.91
257,Shimoda,75,JP,2019-09-29,100,34.7,138.93,75.2,3.36
258,Lixourion,20,GR,2019-09-29,74,38.2,20.43,82.4,10.29
259,Iquique,0,CL,2019-09-29,63,-20.22,-70.14,62.6,3.36
260,Bathsheba,40,BB,2019-09-29,70,13.22,-59.52,86.0,11.41
261,Aklavik,5,CA,2019-09-29,86,68.22,-135.01,30.2,3.36
262,Salalah,40,OM,2019-09-29,74,17.01,54.1,84.2,17.22
263,Nalut,0,LY,2019-09-29,33,31.86,10.98,83.93,9.89
264,Ahuimanu,20,US,2019-09-29,74,21.44,-157.84,80.6,9.17
265,Ulagan,99,RU,2019-09-29,84,50.63,87.96,35.33,3.15
266,Grand Gaube,20,MU,2019-09-29,69,-20.01,57.66,77.0,12.75
267,Paamiut,91,GL,2019-09-29,82,61.99,-49.67,42.35,7.78
268,Manono,14,CD,2019-09-29,19,-7.3,27.4,109.31,0.22
269,Wynyard,54,AU,2019-09-29,73,-40.99,145.73,42.71,4.41
270,Katsuura,75,JP,2019-09-29,83,33.93,134.5,78.8,2.24
271,Shimabara,75,JP,2019-09-29,100,32.79,130.33,75.99,1.12
272,Maun,0,BW,2019-09-29,8,-19.99,23.42,91.4,5.82
273,Udachnyy,90,RU,2019-09-29,69,66.42,112.4,33.8,6.71
274,Bilma,0,NE,2019-09-29,7,18.69,12.92,104.45,13.04
275,Ancud,0,CL,2019-09-29,87,-41.87,-73.83,44.6,8.05
276,Cali,75,CO,2019-09-29,88,3.43,-76.51,69.8,3.36
277,Talara,34,PE,2019-09-29,87,-4.58,-81.27,64.85,18.05
278,Saldanha,10,PT,2019-09-29,26,41.42,-6.55,73.85,4.21
279,Balaka,0,MW,2019-09-29,12,-14.99,34.96,90.77,4.0
280,Itoman,90,JP,2019-09-29,94,26.12,127.67,84.2,10.29
281,Goalpara,100,IN,2019-09-29,95,26.18,90.62,70.61,2.33
282,Rosarito,75,CO,2019-09-29,87,4.91,-75.23,69.8,3.36
283,Morondava,0,MG,2019-09-29,68,-20.3,44.28,74.03,9.98
284,Ambatofinandrahana,43,MG,2019-09-29,49,-20.55,46.8,73.49,15.39
285,Kahului,75,US,2019-09-29,69,20.89,-156.47,78.8,10.29
286,Cockburn Town,79,TC,2019-09-29,73,21.46,-71.14,83.57,5.48
287,Soto la Marina,100,MX,2019-09-29,93,23.77,-98.21,74.57,3.44
288,Manokwari,80,ID,2019-09-29,86,-0.87,134.08,72.95,3.65
289,Rio Gallegos,75,AR,2019-09-29,69,-51.62,-69.22,39.2,10.29
290,Constitucion,78,MX,2019-09-29,86,23.99,-104.67,59.0,6.13
291,Mukhtolovo,91,RU,2019-09-29,62,55.47,43.2,53.51,7.7
292,Bam,81,IR,2019-09-29,19,29.11,58.36,76.73,4.92
293,Petropavlovsk-Kamchatskiy,20,RU,2019-09-29,93,53.05,158.65,41.0,1.21
294,Tabou,91,CI,2019-09-29,72,4.42,-7.36,83.93,4.65
295,Torbay,90,CA,2019-09-29,87,47.66,-52.73,53.01,6.93
296,Ust-Nera,100,RU,2019-09-29,95,64.57,143.24,20.21,6.69
297,Talnakh,75,RU,2019-09-29,97,69.49,88.39,32.0,6.71
298,Macau,73,BR,2019-09-29,54,-5.11,-36.64,82.85,15.21
299,Linxia,31,CN,2019-09-29,38,35.6,103.21,59.27,5.26
300,Baracoa,17,CU,2019-09-29,79,20.35,-74.5,81.77,5.01
301,Ryotsu,59,JP,2019-09-29,100,38.08,138.43,69.8,2.24
302,Caravelas,99,BR,2019-09-29,86,-17.73,-39.27,73.31,10.87
303,Hami,0,CN,2019-09-29,18,42.84,93.51,75.83,4.74
304,Luanda,75,AO,2019-09-29,78,-8.83,13.24,78.8,8.05
305,Gat,40,SN,2019-09-29,66,14.69,-16.54,87.8,10.29
306,Yeppoon,40,AU,2019-09-29,53,-23.13,150.74,73.4,5.82
307,Puerto Madryn,50,AR,2019-09-29,30,-42.77,-65.04,62.33,14.9
308,Lata,100,IN,2019-09-29,90,30.78,78.62,39.65,1.99
309,Ishigaki,69,JP,2019-09-29,88,24.34,124.16,82.13,16.84
310,Biak,95,ID,2019-09-29,98,-0.91,122.88,64.13,3.96
311,Ruteng,58,ID,2019-09-29,80,-8.61,120.46,73.67,2.53
312,Senanga,1,ZM,2019-09-29,5,-16.1,23.3,98.69,5.39
313,Les Cayes,79,HT,2019-09-29,77,18.19,-73.75,81.77,4.54
314,Egvekinot,68,RU,2019-09-29,93,66.32,-179.17,33.17,5.21
315,Muisne,75,EC,2019-09-29,88,0.61,-80.02,75.2,8.05
316,Hambantota,40,LK,2019-09-29,88,6.12,81.12,80.6,3.36
317,Nome,1,US,2019-09-29,83,30.04,-94.42,80.01,3.36
318,Yumen,32,CN,2019-09-29,11,40.29,97.04,74.93,4.97
319,San Carlos de Bariloche,75,AR,2019-09-29,94,-41.13,-71.31,44.6,20.8
320,Bambous Virieux,20,MU,2019-09-29,69,-20.34,57.76,77.0,12.75
321,Vrises,0,GR,2019-09-29,51,35.49,23.89,86.0,6.93
322,Vila Velha,40,BR,2019-09-29,58,-3.71,-38.6,86.0,19.46
323,Dalby,45,AU,2019-09-29,31,-27.18,151.26,64.0,9.69
324,Najran,40,SA,2019-09-29,29,17.54,44.22,91.4,4.7
325,Santa Rosalia,20,IT,2019-09-29,69,38.07,13.27,81.0,10.29
326,Aginskoye,100,RU,2019-09-29,49,51.11,114.54,49.73,9.78
327,Savannah Bight,33,HN,2019-09-29,75,16.45,-85.85,85.01,21.45
328,Blackwater,75,GB,2019-09-29,82,51.33,-0.78,66.99,18.34
329,Svetlaya,27,RU,2019-09-29,79,46.54,138.33,48.65,5.75
330,San Zenon,73,CO,2019-09-29,96,9.24,-74.5,75.83,4.76
331,Coahuayana,89,MX,2019-09-29,98,18.62,-100.35,70.25,3.78
332,Kindu,100,CD,2019-09-29,77,-2.95,25.92,78.89,6.17
333,Flinders,90,AU,2019-09-29,76,-34.58,150.85,62.01,3.36
334,Togur,100,RU,2019-09-29,89,58.36,82.83,39.47,8.1
335,Piacabucu,41,BR,2019-09-29,67,-10.41,-36.43,80.87,11.68
336,Mackay,75,CA,2019-09-29,86,53.65,-115.58,28.4,6.93
337,Alice Springs,0,AU,2019-09-29,18,-23.7,133.88,73.4,6.93
338,Semey,75,KZ,2019-09-29,48,50.41,80.25,48.2,13.42
339,Umea,75,SE,2019-09-29,93,63.83,20.26,53.6,5.82
340,Ketchikan,1,US,2019-09-29,93,55.34,-131.65,48.2,7.05
341,Sinnamary,2,GF,2019-09-29,79,5.38,-52.96,82.31,13.44
342,Weiser,90,US,2019-09-29,56,44.25,-116.97,42.8,10.29
343,Canberra,27,AU,2019-09-29,87,-35.3,149.1,51.01,6.93
344,Price,1,US,2019-09-29,76,39.6,-110.81,53.6,12.75
345,Hovd,75,NO,2019-09-29,87,63.83,10.7,52.0,11.41
346,Owando,81,CG,2019-09-29,52,-0.49,15.91,87.89,6.46
347,Vila,75,IT,2019-09-29,69,45.18,8.4,79.0,5.82
348,Banamba,4,ML,2019-09-29,38,13.55,-7.45,93.83,6.42
349,Aswan,0,EG,2019-09-29,7,24.09,32.9,102.11,12.35
350,Khanpur,36,PK,2019-09-29,25,28.65,70.66,101.57,8.23
351,Cayenne,75,GF,2019-09-29,70,4.94,-52.33,86.0,5.82
352,Bozova,0,TR,2019-09-29,26,37.36,38.53,86.0,11.41
353,Viransehir,0,TR,2019-09-29,16,37.24,39.76,86.99,9.66
354,San Patricio,0,PY,2019-09-29,54,-26.98,-56.83,75.83,4.23
355,Rzhaksa,49,RU,2019-09-29,50,52.14,42.03,58.73,10.4
356,Whitehorse,40,CA,2019-09-29,74,60.72,-135.06,33.8,17.22
